id,gender,grade,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,duration_seconds
1,女,大二,4,3,2,4,5,3,4,2,3,4,180
2,男,大三,3,4,3,3,4,4,3,3,4,3,220
3,女,大一,5,4,1,5,4,5,5,1,2,5,195
4,男,大二,2,2,4,2,3,2,2,4,4,2,170
5,女,大三,4,5,2,4,5,4,4,2,3,4,240
6,男,大一,3,3,3,3,3,3,3,3,3,3,65
7,女,大四,4,4,2,5,5,4,5,1,2,5,310
8,男,大二,1,2,5,1,2,1,2,5,5,1,155
9,女,大三,5,5,1,4,5,5,4,1,2,5,280
10,男,大一,3,4,3,4,4,3,4,3,3,4,190
11,女,大二,4,3,2,4,4,4,4,2,3,4,205
12,男,大四,2,3,4,2,3,2,2,4,4,2,175
13,女,大一,5,5,1,5,5,5,5,1,1,5,260
14,男,大三,3,3,3,3,3,3,3,3,3,3,45
15,女,大二,4,4,2,4,4,4,4,2,2,4,230
16,男,大一,2,1,4,2,2,2,1,5,5,2,160
17,女,大三,5,4,1,5,5,5,5,1,2,5,290
18,男,大二,3,3,3,4,4,3,3,3,3,3,185
19,女,大四,4,5,2,4,5,4,5,1,2,5,275
20,男,大一,1,2,5,2,2,1,2,5,4,1,150
21,女,大二,4,4,2,4,5,4,4,2,2,4,210
22,男,大三,3,3,3,3,3,3,3,3,3,4,200
23,女,大一,5,5,1,5,5,5,5,1,1,5,265
24,男,大二,2,2,4,2,3,2,2,4,4,2,170
25,女,大三,4,4,2,4,4,4,4,2,3,4,235
26,男,大四,3,3,3,3,4,3,3,3,3,3,190
27,女,大一,5,4,1,5,5,5,4,1,2,5,250
28,男,大二,2,3,4,2,2,2,3,4,5,2,165
29,女,大三,4,5,2,4,5,4,5,2,2,4,280
30,男,大一,3,3,3,3,3,3,3,3,3,3,55
