participant_id,self_efficacy,social_support,academic_motivation,academic_performance
1,2.69,3.48,1.45,1.37
2,3.7,3.49,2.77,2.79
3,4.05,4.67,2.75,2.12
4,3.88,3.82,2.27,2.75
5,2.83,3.46,2.09,1.23
6,4.25,2.63,2.04,2.33
7,3.99,3.17,2.37,2.29
8,3.99,3.99,3.31,2.58
9,4.02,4.15,2.63,1.83
10,4.27,4.8,2.68,2.11
11,5.0,3.38,2.3,1.82
12,3.07,4.1,2.55,1.81
13,3.53,4.58,2.53,1.99
14,4.73,2.43,2.54,2.38
15,2.56,5.0,1.74,1.0
16,3.73,3.12,2.08,1.55
17,3.02,3.12,2.02,1.0
18,3.49,4.36,2.73,1.99
19,3.83,4.05,2.65,1.71
20,2.15,4.53,1.99,1.65
21,2.81,4.19,2.74,1.64
22,2.52,3.98,2.06,1.61
23,3.34,3.72,1.44,1.3
24,3.02,3.33,1.54,1.36
25,4.56,4.15,2.81,2.2
26,3.08,2.65,1.95,1.19
27,4.7,3.69,2.21,2.32
28,3.22,4.27,1.91,1.3
29,3.69,3.11,2.36,2.25
30,3.53,4.31,2.62,1.19
31,3.51,4.39,2.68,1.8
32,2.71,3.85,2.38,1.88
33,3.73,3.71,2.44,2.16
34,3.77,4.13,2.24,1.24
35,3.67,4.19,3.04,2.19
36,3.93,3.65,2.88,2.18
37,2.93,5.0,3.21,2.09
38,3.29,4.71,2.75,1.8
39,3.04,4.4,2.45,1.49
40,2.31,4.64,2.3,1.55
41,3.76,4.59,2.83,2.23
42,3.06,2.97,1.25,1.55
43,3.45,5.0,2.67,1.89
44,5.0,2.93,2.51,2.0
45,3.66,3.93,2.64,2.18
46,3.58,3.14,2.35,1.41
47,4.25,4.18,2.64,1.9
48,4.37,4.07,2.6,1.93
49,4.77,3.95,2.35,2.12
50,3.13,2.08,1.86,1.57
51,4.76,4.28,2.79,2.89
52,3.41,3.95,2.27,1.94
53,2.69,2.57,2.17,1.82
54,2.85,4.71,2.86,1.73
55,4.28,3.71,2.51,1.74
56,4.03,3.35,3.12,2.14
57,4.4,4.06,3.07,2.17
58,2.85,3.48,2.09,2.17
59,3.26,4.04,2.01,2.06
60,2.66,3.58,1.67,1.59
61,2.12,3.26,2.11,1.35
62,3.49,3.11,1.38,1.04
63,4.61,4.29,3.6,2.5
64,4.28,3.86,2.94,2.06
65,2.96,3.35,1.9,1.27
66,4.32,3.45,3.2,2.49
67,3.1,3.27,2.16,2.17
68,3.72,5.0,2.3,2.47
69,4.08,4.03,2.36,1.92
70,3.21,3.91,1.85,1.58
71,2.88,4.72,1.93,1.6
72,3.95,3.41,3.18,2.07
73,3.38,3.14,2.15,2.12
74,3.11,3.5,2.05,1.77
75,3.94,3.9,2.86,2.17
76,3.35,3.68,2.49,2.02
77,3.77,3.59,2.1,1.66
78,2.82,3.89,1.73,1.35
79,4.01,3.53,1.65,2.06
80,2.84,3.14,2.28,1.94
81,3.23,4.24,2.28,1.79
82,2.19,3.63,2.19,1.01
83,4.31,3.61,2.58,2.88
84,3.57,4.1,1.9,1.81
85,3.82,4.04,2.28,2.18
86,2.31,3.11,2.32,1.24
87,3.61,3.34,1.99,1.9
88,3.22,2.94,2.19,1.89
89,4.34,3.06,1.46,1.8
90,2.4,3.97,1.69,1.66
91,3.75,3.49,2.72,1.54
92,4.24,3.21,1.66,2.13
93,2.67,2.98,2.24,1.48
94,3.58,4.54,2.4,1.74
95,2.74,3.53,1.76,1.42
96,3.53,3.92,2.98,2.24
97,3.73,3.73,2.21,1.91
98,4.42,3.2,2.95,2.21
99,3.62,4.04,2.32,2.05
100,3.02,3.85,2.37,2.6
101,3.9,4.56,3.16,2.48
102,3.5,4.13,2.91,1.97
103,4.26,3.02,2.31,2.39
104,3.08,3.69,1.28,1.59
105,4.44,3.7,3.38,2.26
106,3.62,3.72,2.18,2.19
107,3.67,3.02,2.72,1.63
108,4.2,2.76,1.99,2.03
109,3.13,3.69,2.05,2.2
110,3.14,3.98,2.36,1.4
111,3.86,3.05,2.27,1.77
112,3.44,4.89,3.48,2.04
113,3.53,4.16,1.81,2.04
114,3.22,3.47,1.97,1.41
115,3.28,5.0,2.78,1.93
116,4.1,2.85,2.49,2.17
117,4.87,3.16,2.69,2.61
118,2.53,3.12,1.93,1.64
119,4.56,4.48,3.37,2.22
120,4.02,3.32,2.2,1.3
121,4.34,4.21,2.58,2.42
122,3.63,3.92,2.42,1.9
123,2.99,3.42,2.37,1.89
124,3.36,3.85,1.77,1.37
125,2.85,3.06,2.69,1.79
126,2.33,4.28,1.97,1.79
127,3.45,3.18,1.92,1.19
128,3.68,3.25,2.14,1.72
129,3.3,4.19,1.98,1.15
130,3.63,3.49,1.96,2.09
131,2.42,4.9,2.2,1.53
132,4.24,4.61,3.07,2.0
133,3.39,2.79,2.33,1.28
134,3.53,3.87,2.25,1.81
135,4.0,3.69,2.4,2.0
136,3.1,5.0,2.78,1.84
137,5.0,3.45,2.03,2.47
138,4.37,3.4,2.49,1.79
139,4.36,3.66,3.06,2.55
140,3.61,3.65,3.03,2.57
141,3.0,3.24,1.95,1.36
142,3.85,3.94,1.98,2.02
143,2.99,3.46,1.85,1.95
144,3.66,3.27,2.77,1.62
145,3.66,4.7,3.52,2.14
146,4.36,3.87,2.63,1.77
147,3.81,3.15,1.68,1.78
148,3.6,2.95,2.22,2.35
149,4.47,3.58,2.96,1.88
150,3.42,3.03,2.48,1.85
