participant_id,work_stress,resilience,job_satisfaction,gender
1,3.45,3.28,3.98,1
2,2.86,3.66,3.58,1
3,2.8,2.92,3.66,0
4,3.42,4.22,3.8,0
5,4.01,3.19,3.93,0
6,3.5,4.41,4.67,1
7,2.97,1.74,4.35,1
8,2.01,3.36,5.0,1
9,2.58,3.6,3.86,1
10,2.68,3.72,3.77,1
11,4.12,2.96,3.98,1
12,1.5,4.12,5.0,1
13,3.64,3.45,4.01,0
14,2.81,3.37,4.31,0
15,3.6,4.2,3.29,1
16,1.66,4.15,4.46,1
17,3.04,3.73,3.47,0
18,3.65,3.36,3.31,0
19,3.23,3.44,3.33,1
20,3.95,4.06,3.83,1
21,3.54,3.76,4.39,0
22,3.41,2.86,3.57,0
23,2.17,3.84,4.3,1
24,2.85,2.51,4.25,0
25,2.65,3.49,3.9,0
26,3.06,3.55,3.49,1
27,5.0,3.69,2.79,0
28,2.95,3.3,3.92,1
29,3.79,3.08,3.56,1
30,3.66,4.86,4.27,1
31,3.87,2.69,3.59,0
32,3.79,3.43,4.08,0
33,1.51,4.13,4.82,0
34,3.23,3.08,3.37,0
35,1.88,3.38,4.56,0
36,1.94,4.23,4.41,1
37,4.09,3.8,3.32,1
38,3.13,3.22,3.37,1
39,2.23,3.04,4.92,1
40,2.16,3.31,4.75,0
41,3.35,5.0,4.91,1
42,1.64,3.09,3.86,1
43,4.47,3.41,4.11,0
44,3.83,4.49,4.38,0
45,4.06,2.87,3.38,1
46,4.27,3.26,3.46,1
47,4.01,3.39,2.99,1
48,4.34,3.75,3.51,1
49,2.96,3.17,3.88,1
50,3.4,4.94,3.75,0
51,2.58,3.77,4.22,0
52,4.79,4.06,3.99,1
53,3.44,3.54,3.54,0
54,3.7,4.84,4.82,0
55,2.61,2.66,3.89,0
56,2.94,2.49,4.0,1
57,2.98,3.48,3.42,1
58,2.54,3.0,4.31,1
59,2.36,3.56,4.33,1
60,4.03,3.49,3.63,1
61,2.77,3.57,4.62,0
62,3.42,2.84,4.44,1
63,3.21,3.33,3.2,1
64,2.76,3.75,4.43,1
65,2.85,2.73,3.25,0
66,3.87,3.46,3.26,0
67,3.22,3.81,3.83,0
