id,pre_score,post_score,gender,age
1,46.7,43.0,男,21
2,48.0,38.3,女,21
3,56.9,49.6,男,23
4,56.5,48.1,男,18
5,62.8,60.7,女,23
6,65.0,57.5,女,18
7,54.4,48.8,男,18
8,55.6,43.8,女,21
9,49.2,44.4,女,23
10,49.5,42.5,女,20
11,35.9,30.1,男,20
12,43.0,34.4,女,19
13,43.1,31.3,女,20
14,53.9,46.8,女,19
15,49.4,40.6,女,20
16,67.6,64.7,女,22
17,67.3,60.0,女,18
18,59.4,57.3,男,22
19,59.5,56.1,男,20
20,61.3,49.3,男,21
21,51.2,44.5,男,23
22,51.3,46.8,男,19
23,44.2,37.1,女,18
24,48.9,47.5,女,19
25,61.1,47.2,男,21
26,53.1,48.1,女,18
27,49.1,41.1,女,20
28,49.6,43.7,男,21
29,52.9,46.2,女,21
30,61.1,58.2,男,18
31,41.5,35.8,女,23
32,49.8,40.1,男,19
33,58.9,54.4,男,22
34,40.5,34.0,男,23
35,62.6,48.3,女,19
