id,gender,grade,anxiety_score,self_esteem_score
1,男,大四,3.6,2.9
2,女,大三,3.09,2.72
3,男,大四,3.72,2.23
4,男,大三,4.42,2.66
5,男,大三,3.01,3.61
6,女,大四,3.01,3.55
7,女,大三,4.46,1.76
8,女,大一,3.81,2.41
9,男,大三,2.82,3.29
10,男,大二,3.63,3.27
11,女,大四,2.83,2.8
12,女,大一,2.83,2.97
13,女,大四,3.39,2.14
14,女,大二,1.67,2.95
15,男,大二,1.82,4.08
16,女,大二,2.75,3.94
17,男,大三,2.39,3.26
18,女,大三,3.45,3.38
19,男,大四,2.47,3.48
20,女,大四,2.07,3.08
21,女,大一,4.37,2.53
22,女,大一,3.02,3.91
23,女,大四,3.25,2.85
24,男,大三,2.06,4.41
25,女,大二,2.76,1.55
26,男,大四,3.29,3.35
27,男,大一,2.28,3.41
28,男,大三,3.5,2.57
29,男,大四,2.72,3.2
30,女,大四,2.97,1.82
31,男,大三,2.72,3.01
32,男,大四,4.68,2.37
33,男,大三,3.19,3.79
34,女,大二,2.35,3.01
35,女,大三,3.86,2.09
36,女,大三,2.22,3.09
37,女,大三,3.37,3.37
38,男,大四,1.63,3.88
39,男,大四,2.14,3.11
40,女,大三,3.36,3.13
41,男,大四,3.79,2.66
42,男,大一,3.34,3.41
43,男,大一,3.11,2.53
44,女,大四,2.96,2.82
45,女,大四,2.02,3.26
46,男,大三,2.62,2.31
47,女,大二,2.83,3.26
48,女,大四,4.05,2.63
49,女,大一,3.47,2.77
50,女,大三,1.79,3.46
